run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K20_sw3_lam0.5,20,3,0.5,15,model.output_blocks.10,55,145,0.275,2.89464896,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,16,model.output_blocks.11,56,144,0.28,3.12556844,4;2;4;4;4;2;4;4;4;3;4;3;4;2;2
sweep_K20_sw3_lam0.5,20,3,0.5,17,model.output_blocks.2,55,145,0.275,2.43276923,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,18,model.output_blocks.3,55,145,0.275,2.43276923,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,19,model.output_blocks.4,55,145,0.275,2.55764016,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,20,model.output_blocks.5,55,145,0.275,2.67258516,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,21,model.output_blocks.6,55,145,0.275,2.46327356,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,22,model.output_blocks.7,55,145,0.275,2.75184959,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,23,model.output_blocks.8,55,145,0.275,2.49999213,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,24,model.output_blocks.9,55,145,0.275,2.83515139,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,0,model.input_blocks.0,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,1,model.input_blocks.1,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,2,model.input_blocks.10,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,3,model.input_blocks.11,55,145,0.275,4.86716204,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,4,model.input_blocks.2,55,145,0.275,5.02912252,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,5,model.input_blocks.3,55,145,0.275,5.00580868,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,6,model.input_blocks.4,55,145,0.275,4.9596777,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,7,model.input_blocks.5,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,8,model.input_blocks.6,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,9,model.input_blocks.7,55,145,0.275,4.9479017,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,10,model.input_blocks.8,55,145,0.275,4.98490768,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,11,model.input_blocks.9,55,145,0.275,5.03503877,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,12,model.middle_block,55,145,0.275,4.96460987,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,13,model.output_blocks.0,55,145,0.275,5.47503468,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,14,model.output_blocks.1,55,145,0.275,4.99017635,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,15,model.output_blocks.10,55,145,0.275,5.32741819,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,16,model.output_blocks.11,56,144,0.28,5.72500435,4;2;4;4;4;2;4;4;4;3;4;3;4;2;2
sweep_K20_sw3_lam1.0,20,3,1.0,17,model.output_blocks.2,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,18,model.output_blocks.3,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,19,model.output_blocks.4,55,145,0.275,4.9904094,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,20,model.output_blocks.5,55,145,0.275,5.1053544,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,21,model.output_blocks.6,55,145,0.275,4.8960428,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,22,model.output_blocks.7,55,145,0.275,5.18461883,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,23,model.output_blocks.8,55,145,0.275,4.93276136,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
